household_id,store_id,date,TBL,target_price,encoded_income,site_TradeDesk,site_Facebook,site_Spotify,target_sales_flag
HH0001,STORE_15,2021-02-10,0.0,2.93,2,0,0,1,0
HH0001,STORE_15,2021-02-10,0.0,2.93,2,1,0,0,0
HH0001,STORE_16,2021-02-01,0.0,3.56,2,0,1,0,0
HH0001,STORE_22,2021-02-20,0.0,2.78,2,0,0,1,0
HH0001,STORE_22,2021-02-20,0.0,2.78,2,1,0,0,0
HH0001,STORE_23,2021-02-04,0.0,3.11,2,0,0,1,0
HH0001,STORE_33,2021-02-24,0.0,3.15,2,0,0,1,0
HH0001,STORE_35,2021-02-24,0.0,2.82,2,0,0,1,0
HH0001,STORE_48,2021-02-11,0.0,2.78,2,0,0,1,0
HH0001,STORE_48,2021-02-11,0.0,2.78,2,0,1,0,0
HH0001,STORE_49,2021-02-12,0.0,2.84,2,0,0,0,0
HH0001,STORE_68,2021-02-02,0.0,3.27,2,0,0,0,0
HH0001,STORE_70,2021-01-31,0.0,3.07,2,1,0,0,0
HH0001,STORE_83,2021-02-06,0.0,2.76,2,0,1,0,0
HH0001,STORE_9,2021-02-23,0.0,2.93,2,0,0,0,0
HH0001,STORE_96,2021-02-14,0.0,3.23,2,0,0,0,0
HH0001,STORE_98,2021-02-21,0.0,2.87,2,0,0,0,0
HH0002,STORE_12,2021-02-17,0.5083932853717027,0.0,1,0,0,0,1
HH0002,STORE_12,2021-02-19,0.0,2.52,1,0,0,0,0
HH0002,STORE_14,2021-02-11,0.0,0.0,1,0,1,0,0
HH0002,STORE_16,2021-02-21,1.0,0.0,1,0,0,1,1
HH0002,STORE_18,2021-02-13,1.0,2.79,1,0,0,1,1
HH0002,STORE_18,2021-02-13,1.0,2.79,1,1,0,0,1
HH0002,STORE_3,2021-02-20,0.6802383316782522,0.0,1,0,0,1,1
HH0002,STORE_3,2021-02-20,0.6802383316782522,0.0,1,1,0,0,1
HH0002,STORE_3,2021-02-20,0.6802383316782522,0.0,1,0,1,0,1
HH0002,STORE_31,2021-02-26,1.0,3.19,1,0,0,0,1
HH0002,STORE_32,2021-02-16,1.0,0.0,1,0,0,1,1
HH0002,STORE_32,2021-02-16,1.0,0.0,1,1,0,0,1
HH0002,STORE_33,2021-02-18,0.0,3.05,1,0,0,0,0
HH0002,STORE_43,2021-02-03,1.0,2.52,1,0,0,0,1
HH0002,STORE_46,2021-02-23,1.0,0.0,1,0,0,1,1
HH0002,STORE_46,2021-02-23,1.0,0.0,1,1,0,0,1
HH0002,STORE_47,2021-02-23,1.0,3.19,1,0,0,1,1
HH0002,STORE_47,2021-02-23,1.0,3.19,1,1,0,0,1
HH0002,STORE_51,2021-02-14,0.0,0.0,1,0,0,0,0
HH0002,STORE_54,2021-02-11,0.7090909090909091,2.65,1,0,1,0,1
HH0002,STORE_55,2021-02-19,1.0,2.5,1,0,0,0,1
HH0002,STORE_55,2021-02-23,0.6875,2.78,1,0,0,1,1
HH0002,STORE_55,2021-02-23,0.6875,2.78,1,1,0,0,1
HH0002,STORE_65,2021-01-31,0.47133220910623946,0.0,1,1,0,0,1
HH0002,STORE_65,2021-01-31,0.47133220910623946,0.0,1,0,1,0,1
HH0002,STORE_69,2021-01-30,1.0,3.0,1,1,0,0,1
HH0002,STORE_72,2021-02-02,0.6649937264742786,2.68,1,0,0,0,1
HH0002,STORE_73,2021-02-07,1.0,3.52,1,0,0,1,1
HH0002,STORE_73,2021-02-07,1.0,3.52,1,0,1,0,1
HH0002,STORE_73,2021-02-16,1.0,0.0,1,0,0,1,1
HH0002,STORE_73,2021-02-16,1.0,0.0,1,1,0,0,1
HH0002,STORE_81,2021-02-09,0.6087420042643924,0.0,1,0,0,0,1
HH0002,STORE_85,2021-02-01,1.0,2.99,1,0,1,0,1
HH0002,STORE_86,2021-02-25,0.8265460030165912,3.1,1,0,0,1,1
HH0002,STORE_87,2021-02-13,1.0,2.63,1,0,0,1,1
HH0002,STORE_87,2021-02-13,1.0,2.63,1,1,0,0,1
HH0002,STORE_97,2021-02-06,0.0,3.16,1,0,1,0,0
HH0003,STORE_12,2021-02-20,1.0,0.0,1,0,0,0,1
HH0003,STORE_19,2021-02-09,0.0,3.26,1,0,1,0,0
HH0003,STORE_21,2021-01-29,0.903921568627451,0.0,1,1,0,0,1
HH0003,STORE_21,2021-02-01,0.6224105461393596,2.88,1,0,1,0,1
HH0003,STORE_22,2021-02-25,1.0,0.0,1,0,1,0,1
HH0003,STORE_28,2021-02-19,0.7057692307692307,3.38,1,0,0,0,1
HH0003,STORE_32,2021-02-13,0.47858942065491183,3.3,1,1,0,0,1
HH0003,STORE_32,2021-02-13,0.47858942065491183,3.3,1,0,1,0,1
HH0003,STORE_33,2021-02-10,0.0,3.12,1,0,0,1,0
HH0003,STORE_70,2021-02-02,0.0,3.05,1,0,1,0,0
HH0003,STORE_73,2021-01-31,0.5761266747868453,0.0,1,0,0,0,1
HH0003,STORE_76,2021-02-16,1.0,2.93,1,0,0,0,1
HH0003,STORE_77,2021-02-11,1.0,3.33,1,0,0,1,1
HH0003,STORE_77,2021-02-11,1.0,3.33,1,0,1,0,1
HH0003,STORE_81,2021-02-16,0.0,3.06,1,0,0,0,0
HH0003,STORE_83,2021-02-06,0.0,2.76,1,0,0,0,0
HH0003,STORE_88,2021-02-16,1.0,2.83,1,0,0,0,1
HH0003,STORE_96,2021-02-13,1.0,3.11,1,1,0,0,1
HH0003,STORE_96,2021-02-13,1.0,3.11,1,0,1,0,1
HH0004,STORE_11,2021-02-17,0.0,3.31,2,0,0,1,0
HH0004,STORE_11,2021-02-18,1.0,2.82,2,0,0,1,1
HH0004,STORE_11,2021-02-18,1.0,2.82,2,1,0,0,1
HH0004,STORE_13,2021-02-14,1.0,3.08,2,0,0,1,1
HH0004,STORE_16,2021-02-14,1.0,2.94,2,0,0,1,1
HH0004,STORE_2,2021-02-12,0.0,2.89,2,0,1,0,0
HH0004,STORE_22,2021-02-07,0.6010362694300517,3.33,2,1,0,0,1
HH0004,STORE_25,2021-02-06,1.0,3.19,2,1,0,0,1
HH0004,STORE_25,2021-02-22,0.4058759521218716,0.0,2,0,1,0,1
HH0004,STORE_26,2021-02-05,0.0,3.07,2,0,0,1,0
HH0004,STORE_28,2021-02-18,0.0,0.0,2,0,0,1,0
HH0004,STORE_28,2021-02-18,0.0,0.0,2,1,0,0,0
HH0004,STORE_30,2021-02-22,1.0,2.62,2,0,1,0,1
HH0004,STORE_33,2021-02-24,0.0,3.15,2,0,0,0,0
HH0004,STORE_34,2021-02-19,0.0,3.28,2,1,0,0,0
HH0004,STORE_34,2021-02-19,0.0,3.28,2,0,1,0,0
HH0004,STORE_39,2021-02-12,0.0,3.09,2,0,1,0,0
HH0004,STORE_43,2021-02-04,1.0,3.22,2,1,0,0,1
HH0004,STORE_44,2021-02-22,1.0,0.0,2,0,1,0,1
HH0004,STORE_48,2021-01-31,0.0,2.55,2,0,0,0,0
HH0004,STORE_50,2021-02-22,0.0,3.01,2,0,1,0,0
HH0004,STORE_52,2021-02-03,0.0,3.05,2,0,0,1,0
HH0004,STORE_56,2021-02-01,0.0,0.0,2,0,0,0,0
HH0004,STORE_57,2021-02-22,1.0,3.09,2,0,1,0,1
HH0004,STORE_61,2021-02-19,1.0,2.86,2,1,0,0,1
HH0004,STORE_61,2021-02-19,1.0,2.86,2,0,1,0,1
HH0004,STORE_65,2021-02-08,1.0,2.69,2,1,0,0,1
HH0004,STORE_67,2021-02-16,0.7507204610951009,2.72,2,0,1,0,1
HH0004,STORE_69,2021-02-01,1.0,2.95,2,0,0,0,1
HH0004,STORE_69,2021-02-08,1.0,3.08,2,1,0,0,1
HH0004,STORE_71,2021-02-20,0.0,3.08,2,1,0,0,0
HH0004,STORE_71,2021-02-20,0.0,3.08,2,0,1,0,0
HH0004,STORE_72,2021-02-16,1.0,3.18,2,0,1,0,1
HH0004,STORE_77,2021-02-10,1.0,0.0,2,0,0,0,1
HH0004,STORE_78,2021-01-31,1.0,0.0,2,0,0,0,1
HH0004,STORE_80,2021-02-20,0.0,2.67,2,1,0,0,0
HH0004,STORE_80,2021-02-20,0.0,2.67,2,0,1,0,0
HH0004,STORE_81,2021-02-22,1.0,3.04,2,0,1,0,1
HH0004,STORE_85,2021-02-23,1.0,3.05,2,0,0,0,1
HH0004,STORE_87,2021-02-12,0.0,3.29,2,0,1,0,0
HH0004,STORE_98,2021-02-14,0.597574421168688,2.93,2,0,0,1,1
HH0005,STORE_1,2021-02-05,0.5028203062046737,2.95,2,0,0,0,1
HH0005,STORE_20,2021-02-23,0.0,2.95,2,0,0,1,0
HH0005,STORE_25,2021-02-01,0.0,3.03,2,1,0,0,0
HH0005,STORE_27,2021-02-20,1.0,3.16,2,1,0,0,1
HH0005,STORE_27,2021-02-20,1.0,3.16,2,0,1,0,1
HH0005,STORE_29,2021-02-06,1.0,3.29,2,0,0,0,1
HH0005,STORE_35,2021-02-03,1.0,0.0,2,0,0,1,1
HH0005,STORE_35,2021-02-03,1.0,0.0,2,1,0,0,1
HH0005,STORE_36,2021-02-01,0.5777096114519427,0.0,2,1,0,0,1
HH0005,STORE_4,2021-02-26,0.5341296928327646,2.59,2,0,1,0,1
HH0005,STORE_42,2021-02-08,1.0,3.4,2,1,0,0,1
HH0005,STORE_42,2021-02-08,1.0,3.4,2,0,1,0,1
HH0005,STORE_44,2021-02-23,1.0,2.82,2,0,0,1,1
HH0005,STORE_45,2021-02-26,1.0,3.0,2,0,1,0,1
HH0005,STORE_47,2021-02-05,1.0,0.0,2,0,0,0,1
HH0005,STORE_56,2021-02-07,1.0,2.68,2,0,0,1,1
HH0005,STORE_56,2021-02-07,1.0,2.68,2,1,0,0,1
HH0005,STORE_56,2021-02-07,1.0,2.68,2,0,1,0,1
HH0005,STORE_62,2021-02-05,0.0,2.73,2,0,0,0,0
HH0005,STORE_66,2021-02-18,1.0,0.0,2,0,1,0,1
HH0005,STORE_67,2021-02-11,1.0,3.04,2,0,0,1,1
HH0005,STORE_67,2021-02-12,1.0,2.81,2,0,0,1,1
HH0005,STORE_80,2021-02-06,1.0,0.0,2,0,0,0,1
HH0005,STORE_82,2021-02-03,0.5184484389782403,0.0,2,0,0,1,1
HH0005,STORE_82,2021-02-03,0.5184484389782403,0.0,2,1,0,0,1
