household_id,date,site,value
HH0001,01/01/21,TradeDesk,2
HH0001,01/01/21,Spotify,4
HH0001,03/01/21,Facebook,3
HH0001,04/01/21,Facebook,3
HH0001,04/01/21,Spotify,5
HH0001,05/01/21,TradeDesk,1
HH0001,05/01/21,Spotify,5
HH0001,06/01/21,Facebook,3
HH0001,06/01/21,Spotify,2
HH0001,07/01/21,Facebook,2
HH0001,07/01/21,Spotify,6
HH0001,09/01/21,Spotify,5
HH0001,10/01/21,TradeDesk,2
HH0001,11/01/21,Spotify,6
HH0001,12/01/21,Facebook,3
HH0001,12/01/21,Spotify,3
HH0001,13/01/21,Facebook,3
HH0001,14/01/21,TradeDesk,2
HH0001,14/01/21,Facebook,3
HH0001,15/01/21,TradeDesk,1
HH0001,15/01/21,Spotify,4
HH0001,16/01/21,TradeDesk,2
HH0001,17/01/21,Spotify,6
HH0001,20/01/21,TradeDesk,2
HH0001,20/01/21,Facebook,3
HH0001,22/01/21,Facebook,3
HH0001,23/01/21,TradeDesk,2
HH0001,23/01/21,Spotify,4
HH0001,24/01/21,Facebook,3
HH0001,25/01/21,TradeDesk,2
HH0001,25/01/21,Spotify,5
HH0001,27/01/21,TradeDesk,2
HH0001,27/01/21,Facebook,3
HH0001,27/01/21,Spotify,4
HH0001,28/01/21,Spotify,6
HH0001,29/01/21,TradeDesk,2
HH0001,29/01/21,Spotify,4
HH0001,31/01/21,Facebook,3
HH0001,01/02/21,Spotify,4
HH0001,03/02/21,TradeDesk,1
HH0001,03/02/21,Spotify,3
HH0001,04/02/21,TradeDesk,2
HH0001,06/02/21,Spotify,4
HH0001,07/02/21,Facebook,3
HH0001,08/02/21,Spotify,6
HH0001,09/02/21,Spotify,4
HH0001,10/02/21,TradeDesk,2
HH0001,10/02/21,Facebook,3
HH0001,11/02/21,TradeDesk,3
HH0001,11/02/21,Spotify,7
HH0001,15/02/21,Facebook,3
HH0001,15/02/21,Spotify,7
HH0001,16/02/21,TradeDesk,3
HH0001,16/02/21,Spotify,5
HH0001,18/02/21,Facebook,3
HH0001,19/02/21,Facebook,3
HH0001,19/02/21,Spotify,4
HH0001,20/02/21,TradeDesk,2
HH0001,20/02/21,Facebook,3
HH0001,22/02/21,TradeDesk,3
HH0001,22/02/21,Facebook,3
HH0001,22/02/21,Spotify,4
HH0001,24/02/21,TradeDesk,2
